Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,Suppressed
4/29/2022,4/29/2022,4/29/2022,,ACH Deposit,ACH,11,$7 ,$7 ,N
4/28/2022,4/28/2022,5/2/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,11,$10 ,$10 ,N
4/28/2022,4/28/2022,5/2/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,4,$1 ,($7),N
4/28/2022,4/28/2022,5/2/2022,DIS,Disney,Buy,2,$1 ,$7 ,N
4/28/2022,4/28/2022,5/2/2022,DIS,Disney,Buy,5,$8 ,$72 ,N
4/28/2022,4/28/2022,5/2/2022,TSLA,Tesla,Buy,6,$6 ,$60 ,N
4/28/2022,4/28/2022,5/2/2022,HD,Home Depot,Buy,14,$9 ,$54 ,N
4/28/2022,4/28/2022,4/28/2022,,ACH Deposit,ACH,10,$9 ,($72),N
4/19/2022,4/19/2022,4/21/2022,NEE,NextEra Energy,Buy,9,$3 ,$0 ,N
4/19/2022,4/19/2022,4/21/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,9,$9 ,($90),N
4/19/2022,4/19/2022,4/19/2022,,ACH Deposit,ACH,3,$7 ,($56),N
4/18/2022,4/18/2022,4/20/2022,MSFT,Microsoft,Buy,11,$8 ,($64),N
4/18/2022,4/18/2022,4/18/2022,,ACH Deposit,ACH,14,$1 ,($5),N
4/5/2022,4/5/2022,4/7/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,2,$8 ,$0 ,N
4/5/2022,4/5/2022,4/7/2022,NEE,NextEra Energy,Buy,13,$5 ,$50 ,N
4/1/2022,4/1/2022,4/5/2022,MSFT,Microsoft,Buy,8,$3 ,$3 ,N
3/31/2022,3/31/2022,3/31/2022,,Interest Payment,INT,6,$5 ,($40),N
3/31/2022,3/31/2022,4/4/2022,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Buy,10,$5 ,$30 ,N
3/30/2022,3/30/2022,3/30/2022,NOBL,Cash Div: R/D 2022-03-24 P/D 2022-03-30 - 21.386204 shares at 0.352262,CDIV,11,$4 ,($24),N
3/25/2022,3/25/2022,3/29/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,4,$8 ,$80 ,N
3/25/2022,3/25/2022,3/29/2022,HD,Home Depot,Buy,0,$8 ,($56),N
3/24/2022,3/24/2022,3/24/2022,SPYG,Cash Div: R/D 2022-03-22 P/D 2022-03-24 - 230.011076 shares at 0.114611,CDIV,4,$3 ,($12),N
3/24/2022,3/24/2022,3/24/2022,HD,Cash Div: R/D 2022-03-10 P/D 2022-03-24 - 0.879686 shares at 1.9,CDIV,12,$3 ,($30),N
3/22/2022,3/22/2022,3/24/2022,NEE,NextEra Energy,Buy,4,$3 ,($18),N
3/22/2022,3/22/2022,3/24/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,5,$8 ,$80 ,N
3/18/2022,3/18/2022,3/22/2022,MSFT,Microsoft,Buy,10,$10 ,($20),N
3/18/2022,3/18/2022,3/22/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,2,$6 ,($36),N
3/18/2022,3/18/2022,3/22/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,1,$4 ,$24 ,N
3/18/2022,3/18/2022,3/18/2022,,ACH Deposit,ACH,8,$5 ,$40 ,N
3/16/2022,3/16/2022,3/18/2022,NEE,NextEra Energy,Buy,12,$3 ,($18),N
3/15/2022,3/15/2022,3/15/2022,NEE,Cash Div: R/D 2022-03-01 P/D 2022-03-15 - 22.989487 shares at 0.425,CDIV,12,$6 ,($12),N
3/11/2022,3/11/2022,3/15/2022,MSFT,Microsoft,Buy,2,$1 ,($8),N
3/10/2022,3/10/2022,3/10/2022,MSFT,Cash Div: R/D 2022-02-17 P/D 2022-03-10 - 7.687659 shares at 0.62,CDIV,3,$4 ,($24),N
3/8/2022,3/8/2022,3/10/2022,NEE,NextEra Energy,Buy,14,$9 ,$36 ,N
3/8/2022,3/8/2022,3/10/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,3,$9 ,$90 ,N
3/7/2022,3/7/2022,3/9/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,12,$9 ,$81 ,N
3/7/2022,3/7/2022,3/9/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,6,$7 ,$49 ,N
3/7/2022,3/7/2022,3/7/2022,,ACH Deposit,ACH,2,$7 ,$35 ,N
3/7/2022,3/7/2022,3/9/2022,ABNB,Airbnb,Buy,1,$5 ,($45),N
3/4/2022,3/4/2022,3/8/2022,MSFT,Microsoft,Buy,12,$5 ,$15 ,N
2/28/2022,2/28/2022,2/28/2022,,Interest Payment,INT,13,$2 ,$10 ,N
2/24/2022,2/24/2022,2/24/2022,,Crypto Money Movement,COIN,11,$7 ,($63),N
2/24/2022,2/24/2022,2/28/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,-1,$3 ,$9 ,N
2/24/2022,2/24/2022,2/28/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,4,$6 ,($24),N
2/22/2022,2/22/2022,2/24/2022,ANSS,ANSYS,Buy,0,$9 ,$18 ,N
2/22/2022,2/22/2022,2/24/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,4,$4 ,($20),N
2/22/2022,2/22/2022,2/24/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,3,$7 ,($28),N
2/22/2022,2/22/2022,2/24/2022,NEE,NextEra Energy,Buy,-1,$10 ,($60),N
2/22/2022,2/22/2022,2/24/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,7,$5 ,($50),N
2/18/2022,2/18/2022,2/23/2022,MSFT,Microsoft,Buy,14,$2 ,$4 ,N
2/18/2022,2/18/2022,2/23/2022,MSFT,Microsoft,Buy,7,$9 ,($63),N
2/10/2022,2/10/2022,2/14/2022,DIS,Disney,Sell,2,$7 ,$42 ,N
2/8/2022,2/8/2022,2/10/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,7,$4 ,$20 ,N
2/8/2022,2/8/2022,2/10/2022,NEE,NextEra Energy,Buy,12,$7 ,($21),N
2/8/2022,2/8/2022,2/8/2022,,ACH Deposit,ACH,11,$1 ,($4),N
2/8/2022,2/8/2022,2/8/2022,,ACH Deposit,ACH,-1,$7 ,$35 ,N
2/4/2022,2/4/2022,2/8/2022,MSFT,Microsoft,Buy,9,$6 ,$42 ,N
2/2/2022,2/2/2022,2/2/2022,,Price Correction Credits,MISC,1,$2 ,($6),N
1/31/2022,1/31/2022,1/31/2022,,Interest Payment,INT,-1,$2 ,$0 ,N
1/25/2022,1/25/2022,1/27/2022,MSFT,Microsoft,Buy,-1,$10 ,($50),N
1/25/2022,1/25/2022,1/27/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,8,$9 ,($45),N
1/25/2022,1/25/2022,1/27/2022,NEE,NextEra Energy,Buy,14,$1 ,($4),N
1/25/2022,1/25/2022,1/27/2022,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Buy,10,$2 ,($8),N
1/25/2022,1/25/2022,1/27/2022,NEE,NextEra Energy,Buy,12,$6 ,$60 ,N
1/25/2022,1/25/2022,1/25/2022,,ACH Deposit,ACH,6,$10 ,$70 ,N
1/24/2022,1/24/2022,1/26/2022,MSFT,Microsoft,Buy,10,$2 ,($18),N
1/24/2022,1/24/2022,1/26/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,10,$10 ,($40),N
1/24/2022,1/24/2022,1/26/2022,DIS,Disney,Buy,3,$3 ,($21),N
1/21/2022,1/21/2022,1/25/2022,MSFT,Microsoft,Buy,14,$8 ,$64 ,N
1/21/2022,1/21/2022,1/25/2022,MSFT,Microsoft,Buy,2,$8 ,($32),N
1/21/2022,1/21/2022,1/25/2022,COIN,Coinbase,Buy,-1,$5 ,($45),N
1/21/2022,1/21/2022,1/25/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,6,$6 ,$60 ,N
1/21/2022,1/21/2022,1/25/2022,DIS,Disney,Buy,6,$7 ,$35 ,N
1/21/2022,1/21/2022,1/25/2022,DIS,Disney,Buy,12,$9 ,$90 ,N
1/21/2022,1/21/2022,1/25/2022,BRLT,Brilliant Earth Group,Buy,10,$2 ,$2 ,N
1/19/2022,1/19/2022,1/19/2022,,Interest Payment,INT,0,$3 ,$9 ,N
1/14/2022,1/14/2022,1/19/2022,BRLT,Brilliant Earth Group,Buy,15,$2 ,($20),N
1/13/2022,1/13/2022,1/18/2022,ANSS,ANSYS,Buy,12,$1 ,$5 ,N
1/11/2022,1/11/2022,1/13/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,8,$1 ,$10 ,N
1/11/2022,1/11/2022,1/13/2022,NEE,NextEra Energy,Buy,12,$1 ,($8),N
1/10/2022,1/10/2022,1/12/2022,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Buy,15,$5 ,($20),N
1/10/2022,1/10/2022,1/12/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,7,$8 ,$40 ,N
1/10/2022,1/10/2022,1/12/2022,COIN,Coinbase,Buy,10,$1 ,$2 ,N
1/10/2022,1/10/2022,1/12/2022,ABNB,Airbnb,Buy,6,$2 ,$0 ,N
1/7/2022,1/7/2022,1/11/2022,MSFT,Microsoft,Buy,11,$7 ,($7),N
1/6/2022,1/6/2022,1/10/2022,BA,Boeing,Sell,6,$1 ,$1 ,N
1/6/2022,1/6/2022,1/10/2022,ARKG,ARK Genomic Revolution ETF,Buy,13,$10 ,$20 ,N
1/5/2022,1/5/2022,1/7/2022,COIN,Coinbase,Buy,-1,$2 ,$20 ,N
1/5/2022,1/5/2022,1/7/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,10,$10 ,$20 ,N
1/5/2022,1/5/2022,1/7/2022,COIN,Coinbase,Buy,0,$9 ,($27),N
1/3/2022,1/3/2022,1/5/2022,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Buy,7,$10 ,($50),N
1/3/2022,1/3/2022,1/5/2022,ARKK,ARK Innovation ETF,Buy,13,$5 ,($50),N
1/3/2022,1/3/2022,1/5/2022,ARKG,ARK Genomic Revolution ETF,Buy,4,$10 ,$10 ,N
12/31/2021,12/31/2021,12/31/2021,ARKG,Cap Gains: R/D 2021-12-30 P/D 2021-12-31 - 18.96168 shares at 0.38239,LCAP,9,$2 ,($8),N
12/31/2021,12/31/2021,12/31/2021,NOBL,Cash Div: R/D 2021-12-27 P/D 2021-12-31 - 19.262248 shares at 0.633571,CDIV,9,$5 ,($45),N
12/31/2021,12/31/2021,12/31/2021,ARKK,Cap Gains: R/D 2021-12-30 P/D 2021-12-31 - 3.549435 shares at 0.25768,LCAP,2,$6 ,$18 ,N
12/31/2021,12/31/2021,12/31/2021,ARKK,Cap Gains: R/D 2021-12-30 P/D 2021-12-31 - 3.549435 shares at 0.52489,SCAP,1,$6 ,($42),N
12/31/2021,12/31/2021,12/31/2021,,Interest Payment,INT,6,$8 ,($40),N
12/30/2021,12/30/2021,1/3/2022,ANSS,ANSYS,Buy,9,$6 ,$54 ,N
12/30/2021,12/30/2021,1/3/2022,ANSS,ANSYS,Sell,8,$5 ,$50 ,N
12/30/2021,12/30/2021,1/3/2022,COIN,Coinbase,Buy,15,$10 ,$80 ,N
12/30/2021,12/30/2021,1/3/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,5,$6 ,$30 ,N
12/30/2021,12/30/2021,1/3/2022,SPYG,SPDR Portfolio S&P 500 Growth ETF,Sell,5,$4 ,$32 ,N
12/30/2021,12/30/2021,1/3/2022,TSLA,Tesla,Buy,3,$3 ,($18),N
12/30/2021,12/30/2021,1/3/2022,TSLA,Tesla,Sell,4,$3 ,($30),N
12/30/2021,12/30/2021,1/3/2022,CCL,Carnival,Sell,5,$7 ,$21 ,N
12/30/2021,12/30/2021,1/3/2022,RCL,Royal Caribbean Group,Sell,1,$5 ,$40 ,N
12/28/2021,12/28/2021,12/30/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,5,$2 ,$14 ,N
12/28/2021,12/28/2021,12/30/2021,NEE,NextEra Energy,Buy,10,$6 ,($24),N
12/28/2021,12/28/2021,12/28/2021,,ACH Deposit,ACH,10,$1 ,$8 ,N
12/28/2021,12/28/2021,12/28/2021,,ACH Deposit,ACH,5,$2 ,$12 ,N
12/28/2021,12/28/2021,12/30/2021,ESPO,VanEck Video Gaming and eSports ETF,Buy,10,$6 ,($12),N
12/28/2021,12/28/2021,12/30/2021,ESPO,VanEck Video Gaming and eSports ETF,Buy,7,$4 ,($36),N
12/27/2021,12/27/2021,12/27/2021,ESPO,Cash Div: R/D 2021-12-21 P/D 2021-12-27 - 16.850761 shares at 0.0452,CDIV,2,$1 ,$0 ,N
12/27/2021,12/27/2021,12/27/2021,ESPO,Cap Gains: R/D 2021-12-21 P/D 2021-12-27 - 16.850761 shares at 0.2207,LCAP,13,$8 ,$64 ,N
12/27/2021,12/27/2021,12/27/2021,ESPO,Cap Gains: R/D 2021-12-21 P/D 2021-12-27 - 16.850761 shares at 1.9628,SCAP,15,$10 ,$60 ,N
12/27/2021,12/27/2021,12/29/2021,MSFT,Microsoft,Buy,5,$3 ,($21),N
12/27/2021,12/27/2021,12/29/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,13,$10 ,$70 ,N
12/23/2021,12/23/2021,12/23/2021,SPYG,Cash Div: R/D 2021-12-21 P/D 2021-12-23 - 195.422623 shares at 0.122755,CDIV,14,$9 ,$90 ,N
12/20/2021,12/20/2021,12/22/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,6,$7 ,($70),N
12/17/2021,12/17/2021,12/21/2021,ABNB,Airbnb,Buy,8,$5 ,($30),N
12/17/2021,12/17/2021,12/21/2021,HD,Home Depot,Buy,8,$5 ,($35),N
12/16/2021,12/16/2021,12/16/2021,HD,Cash Div: R/D 2021-12-02 P/D 2021-12-16 - 0.876042 shares at 1.65,CDIV,14,$6 ,($24),N
12/16/2021,12/16/2021,12/20/2021,COIN,Coinbase,Buy,2,$1 ,$5 ,N
12/16/2021,12/16/2021,12/20/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,5,$1 ,$6 ,N
12/16/2021,12/16/2021,12/20/2021,NEE,NextEra Energy,Buy,14,$5 ,$10 ,N
12/15/2021,12/15/2021,12/15/2021,NEE,Cash Div: R/D 2021-11-26 P/D 2021-12-15 - 15.673609 shares at 0.385,CDIV,14,$10 ,($60),N
12/15/2021,12/15/2021,12/17/2021,COIN,Coinbase,Buy,6,$5 ,$20 ,N
12/15/2021,12/15/2021,12/17/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,11,$4 ,$12 ,N
12/14/2021,12/14/2021,12/16/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,8,$10 ,$30 ,N
12/14/2021,12/14/2021,12/16/2021,NEE,NextEra Energy,Buy,0,$8 ,$48 ,N
12/13/2021,12/13/2021,12/15/2021,COIN,Coinbase,Buy,9,$2 ,$20 ,N
12/10/2021,12/10/2021,12/14/2021,MSFT,Microsoft,Buy,1,$8 ,$64 ,N
12/10/2021,12/10/2021,12/14/2021,MSFT,Microsoft,Buy,7,$4 ,$32 ,N
12/9/2021,12/9/2021,12/9/2021,MSFT,Cash Div: R/D 2021-11-18 P/D 2021-12-09 - 3.917584 shares at 0.62,CDIV,12,$3 ,$6 ,N
12/3/2021,12/3/2021,12/7/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,5,$10 ,$20 ,N
12/3/2021,12/3/2021,12/7/2021,BABA,Alibaba,Buy,0,$2 ,$8 ,N
12/2/2021,12/2/2021,12/6/2021,BABA,Alibaba,Buy,11,$2 ,($8),N
11/30/2021,11/30/2021,11/30/2021,,Interest Payment,INT,-1,$9 ,$18 ,N
11/30/2021,11/30/2021,12/2/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,-1,$5 ,$25 ,N
11/30/2021,11/30/2021,12/2/2021,NEE,NextEra Energy,Buy,14,$4 ,($12),N
11/26/2021,11/26/2021,11/30/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,7,$3 ,($24),N
11/26/2021,11/26/2021,11/30/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,6,$5 ,($20),N
11/26/2021,11/26/2021,11/30/2021,MSFT,Microsoft,Buy,7,$5 ,($10),N
11/16/2021,11/16/2021,11/18/2021,NEE,NextEra Energy,Buy,9,$1 ,($9),N
11/16/2021,11/16/2021,11/18/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,8,$10 ,($60),N
11/12/2021,11/12/2021,11/16/2021,MSFT,Microsoft,Buy,12,$8 ,$48 ,N
11/2/2021,11/2/2021,11/4/2021,NEE,NextEra Energy,Buy,0,$5 ,($5),N
11/2/2021,11/2/2021,11/4/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,9,$5 ,$10 ,N
10/29/2021,10/29/2021,10/29/2021,,Interest Payment,INT,10,$7 ,$14 ,N
10/29/2021,10/29/2021,11/2/2021,MSFT,Microsoft,Buy,2,$5 ,$50 ,N
10/21/2021,10/21/2021,10/21/2021,,Interest Payment,INT,1,$3 ,($30),N
10/19/2021,10/19/2021,10/21/2021,NEE,NextEra Energy,Buy,15,$5 ,$20 ,N
10/19/2021,10/19/2021,10/21/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,4,$7 ,($70),N
10/15/2021,10/15/2021,10/19/2021,MSFT,Microsoft,Buy,14,$8 ,($72),N
10/11/2021,10/11/2021,10/13/2021,BRLT,Brilliant Earth Group,Buy,2,$4 ,($8),N
10/7/2021,10/7/2021,10/12/2021,BRLT,Brilliant Earth Group,Buy,5,$2 ,($12),N
10/5/2021,10/5/2021,10/7/2021,NEE,NextEra Energy,Buy,14,$3 ,($24),N
10/5/2021,10/5/2021,10/7/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,14,$8 ,$0 ,N
10/5/2021,10/5/2021,10/7/2021,BABA,Alibaba,Buy,11,$5 ,$45 ,N
10/1/2021,10/1/2021,10/5/2021,MSFT,Microsoft,Buy,2,$7 ,$35 ,N
9/30/2021,9/30/2021,9/30/2021,,Interest Payment,INT,2,$9 ,($9),N
9/30/2021,9/30/2021,10/4/2021,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Buy,4,$6 ,($60),N
9/29/2021,9/29/2021,9/29/2021,NOBL,Cash Div: R/D 2021-09-23 P/D 2021-09-29 - 19.174703 shares at 0.413424,CDIV,5,$4 ,($20),N
9/29/2021,9/29/2021,10/1/2021,BRLT,Brilliant Earth Group,Buy,9,$10 ,$10 ,N
9/28/2021,9/28/2021,9/30/2021,NEE,NextEra Energy,Buy,14,$8 ,($64),N
9/27/2021,9/27/2021,9/29/2021,BRLT,Brilliant Earth Group,Buy,7,$3 ,$6 ,N
9/24/2021,9/24/2021,9/28/2021,BRLT,Brilliant Earth Group,Buy,15,$8 ,$32 ,N
9/24/2021,9/24/2021,9/28/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,1,$8 ,($24),N
9/23/2021,9/23/2021,9/23/2021,SPYG,Cash Div: R/D 2021-09-21 P/D 2021-09-23 - 170.642216 shares at 0.105016,CDIV,9,$9 ,($90),N
9/23/2021,9/23/2021,9/27/2021,BRLT,Brilliant Earth Group,Buy,5,$5 ,$40 ,N
9/23/2021,9/23/2021,9/27/2021,BRLT,Brilliant Earth Group,Buy,4,$3 ,($21),N
9/21/2021,9/21/2021,9/23/2021,NEE,NextEra Energy,Buy,4,$2 ,($12),N
9/20/2021,9/20/2021,9/20/2021,,Interest Payment,INT,4,$5 ,($15),N
9/20/2021,9/20/2021,9/22/2021,ARKG,ARK Genomic Revolution ETF,Buy,-1,$6 ,($48),N
9/20/2021,9/20/2021,9/22/2021,BABA,Alibaba,Buy,5,$9 ,($18),N
9/17/2021,9/17/2021,9/21/2021,MSFT,Microsoft,Buy,5,$9 ,$36 ,N
9/17/2021,9/17/2021,9/21/2021,HD,Home Depot,Buy,2,$3 ,($21),N
9/16/2021,9/16/2021,9/20/2021,NEE,NextEra Energy,Buy,12,$4 ,($8),N
9/16/2021,9/16/2021,9/16/2021,HD,Cash Div: R/D 2021-09-02 P/D 2021-09-16 - 0.871752 shares at 1.65,CDIV,5,$5 ,($30),N
9/15/2021,9/15/2021,9/15/2021,NEE,Cash Div: R/D 2021-08-27 P/D 2021-09-15 - 7.176509 shares at 0.385,CDIV,12,$9 ,$0 ,N
9/14/2021,9/14/2021,9/16/2021,NEE,NextEra Energy,Buy,12,$9 ,($54),N
9/10/2021,9/10/2021,9/14/2021,MSFT,Microsoft,Buy,6,$3 ,($3),N
9/9/2021,9/9/2021,9/9/2021,MSFT,Cash Div: R/D 2021-08-19 P/D 2021-09-09 - 2.107739 shares at 0.56,CDIV,12,$10 ,($50),N
9/8/2021,9/8/2021,9/8/2021,,ACH Withdrawal,ACH,0,$9 ,$72 ,N
9/7/2021,9/7/2021,9/9/2021,NEE,NextEra Energy,Buy,4,$9 ,$0 ,N
9/3/2021,9/3/2021,9/8/2021,MSFT,Microsoft,Buy,13,$1 ,$5 ,N
8/31/2021,8/31/2021,8/31/2021,,Interest Payment,INT,6,$8 ,($16),N
8/31/2021,8/31/2021,9/2/2021,NEE,NextEra Energy,Buy,7,$9 ,($27),N
8/24/2021,8/24/2021,8/26/2021,NEE,NextEra Energy,Buy,6,$5 ,$15 ,N
8/23/2021,8/23/2021,8/23/2021,,Interest Payment,INT,2,$7 ,($56),N
8/20/2021,8/20/2021,8/24/2021,MSFT,Microsoft,Buy,4,$5 ,$0 ,N
8/19/2021,8/19/2021,8/23/2021,BABA,Alibaba,Buy,9,$1 ,($9),N
8/18/2021,8/18/2021,8/20/2021,ABNB,Airbnb,Buy,6,$2 ,$2 ,N
8/17/2021,8/17/2021,8/19/2021,NEE,NextEra Energy,Buy,8,$5 ,($35),N
8/17/2021,8/17/2021,8/19/2021,MSFT,Microsoft,Buy,12,$6 ,($54),N
8/10/2021,8/10/2021,8/12/2021,NEE,NextEra Energy,Buy,10,$8 ,($72),N
8/6/2021,8/6/2021,8/10/2021,MSFT,Microsoft,Buy,0,$9 ,($9),N
8/3/2021,8/3/2021,8/5/2021,NEE,NextEra Energy,Buy,6,$1 ,($9),N
7/30/2021,7/30/2021,7/30/2021,,Interest Payment,INT,2,$6 ,($12),N
7/27/2021,7/27/2021,7/29/2021,NEE,NextEra Energy,Buy,6,$2 ,$10 ,N
7/27/2021,7/27/2021,7/29/2021,NEE,NextEra Energy,Buy,14,$4 ,$16 ,N
7/27/2021,7/27/2021,7/29/2021,BA,Boeing,Buy,13,$5 ,($5),N
7/27/2021,7/27/2021,7/29/2021,ABNB,Airbnb,Buy,13,$6 ,$0 ,N
7/27/2021,7/27/2021,7/29/2021,MSFT,Microsoft,Buy,10,$9 ,$0 ,N
7/27/2021,7/27/2021,7/29/2021,BABA,Alibaba,Buy,8,$10 ,$10 ,N
7/27/2021,7/27/2021,7/29/2021,ESPO,VanEck Video Gaming and eSports ETF,Buy,1,$2 ,$12 ,N
7/26/2021,7/26/2021,7/28/2021,BABA,Alibaba,Buy,4,$9 ,($90),N
7/23/2021,7/23/2021,7/27/2021,MSFT,Microsoft,Buy,12,$2 ,($20),N
7/21/2021,7/21/2021,7/23/2021,BA,Boeing,Buy,3,$7 ,$42 ,N
7/20/2021,7/20/2021,7/20/2021,,Crypto Money Movement,COIN,8,$2 ,$10 ,N
7/20/2021,7/20/2021,7/20/2021,,Crypto Money Movement,COIN,11,$8 ,($40),N
7/16/2021,7/16/2021,7/16/2021,,Interest Payment,INT,6,$6 ,($42),N
7/15/2021,7/15/2021,7/15/2021,,Crypto Money Movement,COIN,4,$3 ,$24 ,N
7/15/2021,7/15/2021,7/15/2021,,Crypto Money Movement,COIN,0,$2 ,($18),N
7/14/2021,7/14/2021,7/16/2021,ABNB,Airbnb,Buy,6,$5 ,$10 ,N
7/9/2021,7/9/2021,7/13/2021,MSFT,Microsoft,Buy,0,$2 ,$8 ,N
7/9/2021,7/9/2021,7/13/2021,MSFT,Microsoft,Buy,15,$3 ,($6),N
7/9/2021,7/9/2021,7/13/2021,BABA,Alibaba,Buy,7,$7 ,($42),N
7/8/2021,7/8/2021,7/8/2021,,Crypto Money Movement,COIN,7,$6 ,($48),N
7/8/2021,7/8/2021,7/8/2021,,Crypto Money Movement,COIN,4,$7 ,($70),N
7/8/2021,7/8/2021,7/12/2021,ABNB,Airbnb,Buy,10,$3 ,($21),N
7/2/2021,7/2/2021,7/2/2021,,Crypto Money Movement,COIN,2,$5 ,($50),N
7/2/2021,7/2/2021,7/2/2021,,Crypto Money Movement,COIN,7,$3 ,($24),N
6/30/2021,6/30/2021,6/30/2021,,Interest Payment,INT,3,$6 ,$60 ,N
6/30/2021,6/30/2021,7/2/2021,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Buy,4,$9 ,$63 ,N
6/29/2021,6/29/2021,6/29/2021,NOBL,Cash Div: R/D 2021-06-23 P/D 2021-06-29 - 19.082477 shares at 0.437185,CDIV,8,$10 ,($80),N
6/25/2021,6/25/2021,6/29/2021,SPYG,SPDR Portfolio S&P 500 Growth ETF,Buy,14,$10 ,($80),N
6/24/2021,6/24/2021,6/24/2021,SPYG,Cash Div: R/D 2021-06-22 P/D 2021-06-24 - 170.353891 shares at 0.105633,CDIV,9,$6 ,$18 ,N
6/21/2021,6/21/2021,6/23/2021,ABNB,Airbnb,Buy,2,$8 ,$16 ,N
6/21/2021,6/21/2021,6/21/2021,,Crypto Money Movement,COIN,13,$6 ,($36),N
6/21/2021,6/21/2021,6/21/2021,,Crypto Money Movement,COIN,4,$5 ,($30),N
6/18/2021,6/18/2021,6/22/2021,HD,Home Depot,Buy,2,$3 ,$24 ,N
6/17/2021,6/17/2021,6/17/2021,HD,Cash Div: R/D 2021-06-03 P/D 2021-06-17 - 0.866987 shares at 1.65,CDIV,5,$6 ,($36),N
6/8/2021,6/8/2021,6/8/2021,,Crypto Money Movement,COIN,9,$10 ,($90),N
6/8/2021,6/8/2021,6/8/2021,,Crypto Money Movement,COIN,3,$3 ,($27),N
6/4/2021,6/4/2021,6/4/2021,,Crypto Money Movement,COIN,13,$2 ,($8),N
6/4/2021,6/4/2021,6/4/2021,,Crypto Money Movement,COIN,8,$7 ,($35),N
6/2/2021,6/2/2021,6/2/2021,,Crypto Money Movement,COIN,9,$4 ,$12 ,N
6/2/2021,6/2/2021,6/4/2021,ABNB,Airbnb,Buy,0,$3 ,($18),N
5/28/2021,5/28/2021,5/28/2021,,Interest Payment,INT,14,$2 ,($2),N
5/28/2021,5/28/2021,6/2/2021,VXUS,Vanguard Total International Stock ETF,Sell,15,$9 ,$18 ,N
5/28/2021,5/28/2021,6/2/2021,VXUS,Vanguard Total International Stock ETF,Sell,11,$6 ,$48 ,N
5/27/2021,5/27/2021,6/1/2021,ABNB,Airbnb,Buy,8,$4 ,$28 ,N
5/26/2021,5/26/2021,5/26/2021,,Crypto Money Movement,COIN,11,$10 ,$70 ,N
5/20/2021,5/20/2021,5/24/2021,ABNB,Airbnb,Buy,5,$9 ,$90 ,N
5/18/2021,5/18/2021,5/18/2021,,Crypto Money Movement,COIN,12,$1 ,($9),N
5/17/2021,5/17/2021,5/17/2021,,Crypto Money Movement,COIN,-1,$5 ,($30),N
5/17/2021,5/17/2021,5/17/2021,,Crypto Money Movement,COIN,6,$1 ,$0 ,N
